LanguageType	Japanese

Menu_0	ファイル(&F)
Menu_1	mob_skill_dbを開く(&O)...
Menu_2	mob_dbを開く(名称補完用)...
Menu_3	上書き保存(&S)
Menu_4	名前を付けて保存(&A)...
Menu_5	閉じる(&X)
Menu_6	編集(&E)
Menu_7	元に戻す(&U)
Menu_8	行のコピー(&C)
Menu_9	行の貼り付け(&P)
Menu_10	行の削除(&D)
Menu_11	検索(&S)...
Menu_12	選択行の下に新規行の追加
Menu_13	コメント行挿入
Menu_14	設定(&O)
Menu_15	言語(&L)
Menu_16	ファイル設定(&F)...
Menu_17	名称自動修正
Menu_18	一括名称自動修正
Menu_19	一括MobID変換(複数選択)

Label_0		MOB_ID
Label_1		ダミー文字列
Label_2		STATE
Label_3		SKILL_ID
Label_4		SKILL_LV
Label_5		万分率
Label_6		casttime(ms)
Label_7		delay(ms)
Label_8		妨害可能
Label_9		ターゲット
Label_10	条件タイプ
Label_11	条件値
Label_12	値1
Label_13	値2
Label_14	値3
Label_15	値4
Label_16	値5
Label_17	使用時エモーション
Label_18	使用時チャット
Label_19	名称自動修正
Label_20	変更されています。保存しますか？
Label_21	＠

OptionForm_Label_0	mob_skill_db.txtの自動読み込み
OptionForm_Label_1	mob_db.txtの自動読み込み

SearchForm_Caption	検索
SearchForm_Keyword	検索文字列
SearchForm_Forward	次を検索(&F)
SearchForm_Reverse	前を検索(&R)
SearchForm_Close	閉じる

SearchMob_Caption	Mob検索
SearchMob_Search	検索

SearchSkill_Caption	スキル検索
SearchSkill_Search	検索

State_0		any|いつでも
State_1		idle|待機中
State_2		walk|移動中
State_3		attack|攻撃中
State_4		dead|死亡時
State_5		loot|ルート行動中
State_6		chase|追撃中
State_7		command|命令専用
State_8		angry|怒り
State_9		follow|追尾中

Cancelable_0	no|不可
Cancelable_1	yes|可

Target_0	target|攻撃中のターゲット
Target_1	self|自分
Target_2	friend|仲間
Target_3	master|マスター
Target_4	slave|取り巻き
Target_5	command|他Mobにスキル発動
Target_6	modechange|他Mobのモード変化
Target_7	targetchange|他Mobのターゲット変更
Target_8	anothertarget|異なるターゲット
Target_9	around|自周囲(81ﾏｽ)
Target_10	around1|自周囲9マス
Target_11	around2|自周囲25マス
Target_12	around3|自周囲49マス
Target_13	around4|自周囲81マス
Target_14	around5|敵周囲９マス
Target_15	around6|敵周囲25マス
Target_16	around7|敵周囲49マス
Target_17	around8|敵周囲81マス

ConditionType_0		always|無条件
ConditionType_1		myhpgtmaxrate|自分のHPが指定％を超えていたら
ConditionType_2		myhpltmaxrate|自分のHPが指定％未満になったら
ConditionType_3		mystatuson|自分がステータス異常(条件値)に掛かっていたら
ConditionType_4		mystatusoff|自分がステータス異常(条件値)に掛かっていなかったら
ConditionType_5		friendhpgtmaxrate|仲間のHPが指定％を超えていたら、範囲は周囲8セル固定
ConditionType_6		friendhpltmaxrate|仲間のHPが指定％未満になったら、範囲は周囲8セル固定
ConditionType_7		friendstatuson|仲間がステータス異常(条件値)に掛かっていたら、範囲は周囲8セル固定
ConditionType_8		friendstatusoff|仲間がステータス異常(条件値)に掛かっていなかったら、範囲は周囲8セル固定
ConditionType_9		attackpcgt|攻撃PCが指定数を超えていたら
ConditionType_10	attackpcge|攻撃PCが指定数以上になったら
ConditionType_11	slavelt|総手下数が指定数未満になったら
ConditionType_12	slavele|総手下数が指定数以下になったら
ConditionType_13	targethpgtmaxrate|攻撃対象のHPが指定％を超えていたら
ConditionType_14	targethpltmaxrate|攻撃対象のHPが指定％未満になったら
ConditionType_15	targetstatuson|攻撃対象がステータス異常(条件値)に掛かっていたら
ConditionType_16	targetstatusoff|攻撃対象がステータス異常(条件値)に掛かっていなかったら
ConditionType_17	targethpgt|攻撃対象のHPが指定を超えていたら
ConditionType_18	targethplt|攻撃対象のHPが指定未満になったら
ConditionType_19	masterhpgtmaxrate|マスターのHPが指定％を超えていたら
ConditionType_20	masterhpltmaxrate|マスターのHPが指定％未満になったら
ConditionType_21	masterstatuson|マスターがステータス異常(条件値)に掛かっていたら
ConditionType_22	masterstatusoff|マスターがステータス異常(条件値)に掛かっていなかったら
ConditionType_23	areaslavegt|周囲の手下数が指定数を超えていたら、条件値の下位8bitに数を、上位8bitに範囲を入れること
ConditionType_24	areaslavele|周囲の手下数が指定数以下になったら、条件値の下位8bitに数を、上位8bitに範囲を入れること
ConditionType_25	casttargeted|詠唱のターゲットにされたら
ConditionType_26	closedattacked|近接攻撃を喰らったら
ConditionType_27	longrangeattacked|遠距離攻撃を喰らったら
ConditionType_28	skillused|指定スキルを喰らったら
ConditionType_29	rudeattacked|反撃不可能な状態で攻撃を喰らったら
ConditionType_30	onspawn|出現配置されたら

Status_0	anybad|全状態異常(※以外)
Status_1	stone|石化
Status_2	freeze|凍結
Status_3	stun|スタン
Status_4	sleep|睡眠
Status_5	poison|毒
Status_6	curse|呪い
Status_7	silence|沈黙
Status_8	confusion|混乱
Status_9	blind|盲目
Status_10	hiding|ハイドon※
Status_11	sight|ハイドoff※
Status_12	lexaeterna|LA状態※

Emotion_0 /!
Emotion_1 /?
Emotion_2 /うれしい
Emotion_3 /ハート
Emotion_4 /汗
Emotion_5 /あはは
Emotion_6 /いやだな
Emotion_7 /怒り
Emotion_8 /お金
Emotion_9 /…
Emotion_10 /\
Emotion_11 /+
Emotion_12 /-
Emotion_13 /hung
Emotion_14 /大きいハート
Emotion_15 /ありがとう
Emotion_16 /無念
Emotion_17 /ごめん
Emotion_18 /笑い
Emotion_19 /汗かき
Emotion_20 /あの
Emotion_21 /最高
Emotion_22 /キョロキョロ
Emotion_23 /ショック
Emotion_24 /o
Emotion_25 /x
Emotion_26 /ヘルプ
Emotion_27 /go
Emotion_28 /えーん
Emotion_29 /くすくす
Emotion_30 /ちゅ
Emotion_31 /ちゅちゅ
Emotion_32 /ふん
Emotion_33 /うんうん
Emotion_34 赤エモ
Emotion_35 国旗(インドネシア)
Emotion_36 /e1(怒ったぞ)
Emotion_37 /e2(じゅるり)
Emotion_38 /e3(ドキーン)
Emotion_39 /e4(ベロベロ)
Emotion_40 /e5(イヤイヤ)
Emotion_41 /e6(スイスイ)
Emotion_42 /e7(SP)
Emotion_43 /e8(うひひ)
Emotion_44 /e9(カモン)
Emotion_45 /e10(あくび)
Emotion_46 /e11(おめでとう)
Emotion_47 /e12(HP)
Emotion_48 国旗(フィリピン)
Emotion_49 国旗(アメリカ)
Emotion_50 国旗(シンガポール)
Emotion_51 国旗(ブラジル)
Emotion_52 /e13(キュピーン)
Emotion_53 /e14(ぐるぐる)
Emotion_54 /e15(はぁ)
Emotion_55 /e16(ぱちくり)
Emotion_56 /e17(カラカラ)
Emotion_57 /e18(がっくり)
Emotion_58 /e19/dice(サイコロ1)
Emotion_59 /e19/dice(サイコロ2)
Emotion_60 /e19/dice(サイコロ3)
Emotion_61 /e19/dice(サイコロ4)
Emotion_62 /e19/dice(サイコロ5)
Emotion_63 /e19/dice(サイコロ6)
Emotion_64 国旗(不明)
Emotion_65 /e20
