//item_random.txt
// ランダム取得系のアイテムを設定
// RandomID,ItemID,Rate

//Old_Blue_Box#古く青い箱#
1,969,200	//黄金
1,984,100	//オリデオコン
1,985,100	//エルニウム
1,7619,50	//濃縮エルニウム
1,7620,50	//濃縮オリデオコン
//■■■※※※↓ここから追加分（全部エンチャ）※※※■■■
1,4982,3	//A-Str
1,4983,3	//A-Int
1,4984,3	//A-Def
1,4985,3	//A-Avoid
1,4986,3	//A-Atk
1,4987,3	//A-Matk
1,4988,3	//A-MaxHP
1,4989,3	//A-MaxSP
1,4990,3	//A-Frozen
1,4991,3	//A-ASPD
1,29166,3	//A-Tolerance
1,29167,3	//A-Hit
1,29168,3	//A-Flee
1,29169,3	//A-Mdef
1,310090,3	//A-Reflect
1,310091,3	//A-SPCost
1,29527,3	//B-Def
1,29528,3	//B-Mdef
1,29529,3	//B-HPR
1,29530,3	//B-MaxSP
1,29531,3	//B-MaxHP
1,29532,3	//B-SPR
1,29534,3	//B-Atk
1,29535,3	//B-Matk
1,310084,3	//B-Vit
1,310085,3	//B-Luk
1,310086,3	//B-Str
1,310087,3	//B-Agi
1,310088,3	//B-Int
1,310089,3	//B-Dex
1,4978,3	//C-Life
1,4979,3	//C-Soul
1,4980,3	//C-HPR
1,4981,3	//C-SPR
1,4970,3	//E-Fire
1,4971,3	//E-Water
1,4972,3	//E-Ground
1,4973,3	//E-Wind
1,310103,3	//E-Saint
1,310104,3	//E-Undead
1,310105,3	//E-Darkness
1,310106,3	//E-Poison
1,29543,3	//G-DrainHP
1,29544,3	//G-DrainSP
1,29545,3	//G-Life
1,29546,3	//G-Soul
1,310107,3	//G-Guided
1,310108,3	//G-Cri
1,310092,3	//P-Petrifaction
1,310093,3	//P-Curse
1,310094,3	//P-Sleep
1,310095,3	//P-Confuse
1,310096,3	//P-Silence
1,310097,3	//P-Fear
1,310098,3	//P-Ignition
1,4974,3	//R-Fire
1,4975,3	//R-Water
1,4976,3	//R-Ground
1,4977,3	//R-Wind
1,310099,3	//R-Saint
1,310100,3	//R-Undead
1,310101,3	//R-Darkness
1,310102,3	//R-Telekinesis
1,29170,3	//S-Atk
1,29171,3	//S-Matk
1,29172,3	//S-Avoid
1,29173,3	//S-MaxHP
1,29174,3	//S-Quick
1,29175,3	//S-Cri
1,310121,3	//S-UnlimitVital
1,310122,3	//S-SpellBuster
1,310123,3	//S-FiringShot
1,310124,3	//S-OverPower
1,310125,3	//S-FatalFlash
1,310126,3	//S-LuckyStrike
1,310270,3	//T-PowerBoost
1,310271,3	//T-MagicBoost
1,310272,3	//T-Assault
1,310273,3	//T-Electricity
1,311436,3	//＜Exam＞
1,310192,3	//＜Extreme＞
1,29472,3	//＜Overclock＞
1,29648,3	//＜火雷大神＞
1,29133,3	//＜恢復＞
1,29474,3	//＜剛腕＞
1,29475,3	//＜呪力＞
1,29473,3	//＜超越者＞
1,29647,3	//＜反逆者＞

//Old_Violet_Box#古い紫色の箱#
2,12106,1	//宝石箱
2,7619,100	//濃縮エルニウム
2,7620,100	//濃縮オリデオコン
2,7444,200	//宝箱
2,7230,200	//白金の塊
2,7228,200	//金の塊
2,7229,200	//銀の塊
2,19125,3	//試験管ヘアバンド
2,34001,3	//黎明のマジェスティックゴート
2,34002,3	//浮遊するアーティファクト
2,19444,3	//星の眼帯
2,34003,3	//くわえたチョコスティック
2,19438,3	//炎雷魔女の首飾り
2,22235,3	//銀の毛皮のシューズ
2,32268,3	//カルニウムリング
2,32269,3	//カルニウムイヤリング
2,21047,3	//ビームクレイモア-OS
2,13493,3	//キャノンレイピア-OS
2,32019,3	//ブースターランス-OS
2,28755,3	//黒色-OS
2,28038,3	//モイスラ-OS
2,28136,3	//ブラスティ-OS
2,26151,3	//ルティルススティック-OS
2,26164,3	//エレクトリックフォックス-OS
2,1862,3	//バーニングナックル-OS
2,16088,3	//サフィールホール-OS
2,16089,3	//ウルティオ-OS
2,18178,3	//バーチャルボウ-OS
2,18179,3	//MH-P89-OS
2,18180,3	//AC-B44-OS
2,28629,3	//サーキットボード-OS
2,28253,3	//HR-S55-OS
2,34004,3	//コル・コアヘッドフォン
2,28598,3	//パワードチップ
2,34005,3	//パワードウィング
2,32404,3	//エンジンパイルバンカー
2,34006,3	//氷炎悪神の刃鎌
2,28962,3	//ハルワタート
2,5599,3	//処女宮のダイアデム
2,34007,3	//パナギアの贈り物
2,34008,3	//戦乙女の羽耳
2,28956,3	//降霊術士の手鏡
2,28430,3	//長司祭の指輪
2,34009,3	//ガーディアンオブソウル
2,34010,3	//崇拝の指輪
2,34011,3	//処女宮のディバインクロス
2,34012,3	//処女宮のメイル
2,34013,3	//処女宮のマント
2,34014,3	//処女宮のシューズ
2,34015,3	//処女宮のリング
2,34016,3	//フェイスオブイグドラシル
2,34017,3	//リトルアビスドラゴン
2,34018,3	//レイジングテンペスト
2,34019,3	//ミステリーウィング
2,34020,3	//ヴァルキリーカースブライト
